Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
Rose_4.jpg,VGG19,hip,31.3,hip (31.3%) | bee (15.2%) | pot (12.8%) | cabbage_butterfly (6.9%) | picket_fence (3.3%)
Marigold_0.jpg,VGG19,goldfish,33.99,goldfish (34.0%) | eft (5.9%) | daisy (5.0%) | common_newt (3.2%) | spaghetti_squash (2.7%)
Marigold_1.jpg,VGG19,stinkhorn,34.98,stinkhorn (35.0%) | zucchini (13.7%) | spaghetti_squash (11.5%) | barn_spider (4.0%) | strawberry (3.2%)
Marigold_2.jpg,VGG19,spaghetti_squash,37.53,spaghetti_squash (37.5%) | sulphur_butterfly (8.6%) | stinkhorn (6.3%) | coral_fungus (3.7%) | ski_mask (2.3%)
Marigold_3.jpg,VGG19,daisy,15.96,daisy (16.0%) | spaghetti_squash (6.9%) | cardoon (3.4%) | earthstar (2.3%) | coral_fungus (1.8%)
Marigold_4.jpg,VGG19,prayer_rug,2.75,prayer_rug (2.8%) | plastic_bag (2.7%) | goldfish (2.5%) | sleeping_bag (2.5%) | wool (2.5%)
Hibiscus_0.jpg,VGG19,ant,19.0,ant (19.0%) | fly (16.0%) | bee (14.7%) | daisy (10.2%) | cabbage_butterfly (10.0%)
Hibiscus_1.jpg,VGG19,daisy,55.77,daisy (55.8%) | cabbage_butterfly (10.3%) | mushroom (5.9%) | ant (4.3%) | earthstar (2.6%)
Hibiscus_2.jpg,VGG19,daisy,62.78,daisy (62.8%) | cabbage_butterfly (3.4%) | picket_fence (3.0%) | pot (1.8%) | ant (1.4%)
Hibiscus_3.jpg,VGG19,daisy,42.24,daisy (42.2%) | picket_fence (4.4%) | cabbage_butterfly (4.2%) | Lhasa (2.9%) | Shih-Tzu (2.2%)
Hibiscus_4.jpg,VGG19,daisy,45.18,daisy (45.2%) | pot (16.7%) | picket_fence (6.6%) | greenhouse (6.5%) | cabbage_butterfly (3.2%)
Nayantara_0.jpg,VGG19,pot,7.17,pot (7.2%) | daisy (4.5%) | cucumber (4.1%) | cabbage_butterfly (3.4%) | green_lizard (3.1%)
Nayantara_1.jpg,VGG19,coral_fungus,14.47,coral_fungus (14.5%) | stinkhorn (10.7%) | acorn (6.4%) | slug (6.1%) | earthstar (5.6%)
Nayantara_2.jpg,VGG19,pot,18.09,pot (18.1%) | cucumber (4.1%) | daisy (3.4%) | green_lizard (3.0%) | axolotl (2.1%)
Nayantara_3.jpg,VGG19,pot,14.61,pot (14.6%) | ant (6.2%) | cabbage_butterfly (6.1%) | daisy (4.1%) | picket_fence (3.8%)
Nayantara_4.jpg,VGG19,daisy,27.0,daisy (27.0%) | cabbage_butterfly (8.8%) | yellow_lady's_slipper (7.0%) | sulphur_butterfly (3.1%) | ant (2.7%)
sunflower_0.jpg,ResNet50,daisy,99.58,daisy (99.6%) | bee (0.3%) | sulphur_butterfly (0.0%) | fly (0.0%) | vase (0.0%)
sunflower_1.jpg,ResNet50,daisy,98.33,daisy (98.3%) | bee (0.8%) | fly (0.2%) | sulphur_butterfly (0.1%) | vase (0.1%)
sunflower_2.jpg,ResNet50,daisy,97.01,daisy (97.0%) | bee (0.9%) | fly (0.4%) | sulphur_butterfly (0.3%) | vase (0.2%)
sunflower_3.jpg,ResNet50,daisy,96.83,daisy (96.8%) | bee (0.7%) | sulphur_butterfly (0.6%) | vase (0.5%) | fly (0.3%)
sunflower_4.jpg,ResNet50,daisy,99.04,daisy (99.0%) | bee (0.3%) | fly (0.1%) | sulphur_butterfly (0.1%) | grasshopper (0.1%)
Rose_0.jpg,ResNet50,parachute,46.26,parachute (46.3%) | shower_cap (6.3%) | stinkhorn (5.8%) | plastic_bag (4.9%) | flagpole (2.8%)
Rose_1.jpg,ResNet50,sulphur_butterfly,16.54,sulphur_butterfly (16.5%) | hip (13.7%) | hummingbird (12.0%) | ant (8.2%) | cabbage_butterfly (7.9%)
Rose_2.jpg,ResNet50,hummingbird,40.65,hummingbird (40.7%) | hip (22.3%) | bee (4.3%) | monarch (4.2%) | sulphur_butterfly (2.8%)
Rose_3.jpg,ResNet50,hip,19.59,hip (19.6%) | hummingbird (15.5%) | bee (8.5%) | monarch (8.4%) | sulphur_butterfly (6.7%)
