Image,Model,Top1_Class,Top1_Confidence_%,Top5_Predictions
angle_4.jpg,VGG16,Band_Aid,15.82,Band_Aid (15.8%) | bib (5.5%) | lens_cap (4.4%) | hair_slide (3.3%) | pajama (3.2%)
Saidul_0.jpg,VGG19,Band_Aid,6.17,Band_Aid (6.2%) | Christmas_stocking (6.0%) | envelope (3.2%) | spatula (3.1%) | paintbrush (2.8%)
Saidul_1.jpg,VGG19,Christmas_stocking,7.26,Christmas_stocking (7.3%) | bow_tie (4.1%) | crossword_puzzle (4.0%) | envelope (3.8%) | jersey (3.6%)
Saidul_2.jpg,VGG19,beer_glass,3.77,beer_glass (3.8%) | confectionery (3.2%) | jigsaw_puzzle (3.1%) | Christmas_stocking (2.8%) | bow_tie (2.6%)
Saidul_3.jpg,VGG19,jigsaw_puzzle,8.5,jigsaw_puzzle (8.5%) | Christmas_stocking (7.8%) | envelope (3.9%) | ice_lolly (3.7%) | paintbrush (2.4%)
Saidul_4.jpg,VGG19,Christmas_stocking,4.47,Christmas_stocking (4.5%) | packet (3.5%) | cleaver (3.4%) | envelope (2.8%) | crossword_puzzle (2.7%)
Borhan_0.jpg,VGG19,seat_belt,21.36,seat_belt (21.4%) | military_uniform (2.2%) | spatula (2.2%) | greenhouse (2.2%) | accordion (2.0%)
Borhan_1.jpg,VGG19,pineapple,5.37,pineapple (5.4%) | wok (4.7%) | spatula (4.2%) | grocery_store (3.7%) | bow_tie (2.6%)
Borhan_2.jpg,VGG19,power_drill,3.79,power_drill (3.8%) | cleaver (3.7%) | Band_Aid (3.2%) | shoe_shop (3.1%) | spatula (2.9%)
Borhan_3.jpg,VGG19,seat_belt,5.79,seat_belt (5.8%) | wok (3.3%) | bow_tie (2.9%) | pineapple (2.6%) | grocery_store (2.6%)
Borhan_4.jpg,VGG19,bow_tie,6.56,bow_tie (6.6%) | seat_belt (5.7%) | military_uniform (5.2%) | shoe_shop (2.2%) | screwdriver (2.2%)
Nazmul_0.jpg,VGG19,lab_coat,15.35,lab_coat (15.4%) | neck_brace (5.9%) | syringe (4.6%) | bib (4.4%) | hair_spray (3.2%)
Nazmul_1.jpg,VGG19,neck_brace,7.8,neck_brace (7.8%) | lab_coat (7.1%) | bow_tie (5.7%) | bib (4.1%) | wig (3.3%)
Nazmul_2.jpg,VGG19,neck_brace,22.38,neck_brace (22.4%) | seat_belt (15.2%) | cowboy_hat (10.2%) | feather_boa (3.6%) | bib (2.4%)
Nazmul_3.jpg,VGG19,neck_brace,20.2,neck_brace (20.2%) | bow_tie (6.9%) | barbershop (2.4%) | paper_towel (2.2%) | bib (2.0%)
Nazmul_4.jpg,VGG19,barbershop,12.27,barbershop (12.3%) | neck_brace (8.2%) | lab_coat (5.3%) | bow_tie (3.1%) | bib (2.2%)
Shawon_0.jpg,VGG19,lab_coat,8.59,lab_coat (8.6%) | cellular_telephone (4.8%) | loupe (3.0%) | window_shade (2.1%) | television (1.8%)
Shawon_1.jpg,VGG19,lab_coat,14.8,lab_coat (14.8%) | bow_tie (7.9%) | neck_brace (5.3%) | sunscreen (2.7%) | ice_lolly (1.6%)
Shawon_2.jpg,VGG19,lab_coat,31.66,lab_coat (31.7%) | bow_tie (3.0%) | cellular_telephone (2.7%) | barbershop (1.3%) | Windsor_tie (1.2%)
Shawon_3.jpg,VGG19,lab_coat,9.69,lab_coat (9.7%) | sunscreen (6.1%) | bow_tie (4.0%) | bikini (3.5%) | crayfish (3.1%)
Shawon_4.jpg,VGG19,lab_coat,7.46,lab_coat (7.5%) | bow_tie (5.5%) | neck_brace (3.9%) | cellular_telephone (3.4%) | suit (2.2%)
angle_0.jpg,VGG19,Band_Aid,5.22,Band_Aid (5.2%) | ice_lolly (5.0%) | bonnet (4.9%) | bib (4.1%) | maraca (3.7%)
angle_1.jpg,VGG19,bath_towel,23.52,bath_towel (23.5%) | bonnet (23.1%) | bib (21.8%) | sleeping_bag (5.5%) | neck_brace (3.8%)
angle_2.jpg,VGG19,Band_Aid,9.24,Band_Aid (9.2%) | sunscreen (5.9%) | stethoscope (5.9%) | bow_tie (4.2%) | neck_brace (3.6%)
angle_3.jpg,VGG19,bathing_cap,57.93,bathing_cap (57.9%) | shower_cap (17.0%) | bath_towel (10.8%) | bonnet (5.0%) | diaper (1.0%)
angle_4.jpg,VGG19,bib,6.07,bib (6.1%) | crib (5.1%) | bath_towel (5.1%) | lens_cap (5.0%) | Band_Aid (4.7%)
angle_0.jpg,VGG19,bonnet,5.94,bonnet (5.9%) | bib (5.1%) | ice_lolly (4.9%) | maraca (4.5%) | Band_Aid (4.3%)
angle_1.jpg,VGG19,bath_towel,95.58,bath_towel (95.6%) | shower_cap (1.4%) | bathing_cap (1.4%) | bonnet (1.0%) | diaper (0.3%)
angle_2.jpg,VGG19,Band_Aid,7.62,Band_Aid (7.6%) | bath_towel (5.1%) | sunscreen (5.1%) | bow_tie (4.3%) | tub (3.7%)
angle_3.jpg,VGG19,bib,6.62,bib (6.6%) | Band_Aid (5.9%) | diaper (5.3%) | lens_cap (5.0%) | ice_lolly (4.1%)
angle_4.jpg,VGG19,bath_towel,77.79,bath_towel (77.8%) | bonnet (6.9%) | diaper (3.3%) | shower_cap (3.1%) | bib (1.0%)
angle_0.jpg,VGG19,sweatshirt,11.14,sweatshirt (11.1%) | bonnet (9.4%) | cloak (6.7%) | abaya (5.7%) | wool (4.7%)
angle_1.jpg,VGG19,bow_tie,14.62,bow_tie (14.6%) | diaper (8.5%) | bib (8.4%) | crib (5.5%) | nipple (4.9%)
angle_2.jpg,VGG19,Band_Aid,10.53,Band_Aid (10.5%) | bow_tie (5.7%) | bib (3.3%) | pajama (3.2%) | seat_belt (3.0%)
angle_3.jpg,VGG19,stethoscope,7.48,stethoscope (7.5%) | Band_Aid (6.7%) | maraca (4.9%) | nipple (4.3%) | lab_coat (4.2%)
angle_4.jpg,VGG19,Band_Aid,9.29,Band_Aid (9.3%) | sweatshirt (4.0%) | seat_belt (3.5%) | pinwheel (3.1%) | hair_slide (2.9%)
Saidul_0.jpg,ResNet50,paintbrush,8.19,paintbrush (8.2%) | syringe (6.6%) | envelope (6.6%) | shower_curtain (3.5%) | iron (3.5%)
Saidul_1.jpg,ResNet50,syringe,16.97,syringe (17.0%) | envelope (11.4%) | refrigerator (4.5%) | packet (4.3%) | paintbrush (2.7%)
Saidul_2.jpg,ResNet50,paintbrush,4.48,paintbrush (4.5%) | syringe (4.4%) | wool (3.4%) | cellular_telephone (3.0%) | Band_Aid (2.9%)
Saidul_3.jpg,ResNet50,paintbrush,9.37,paintbrush (9.4%) | syringe (9.2%) | hotdog (5.6%) | pizza (3.0%) | hair_slide (2.8%)
Saidul_4.jpg,ResNet50,packet,26.62,packet (26.6%) | syringe (6.6%) | carton (4.2%) | envelope (3.1%) | sombrero (2.8%)
Borhan_0.jpg,ResNet50,Band_Aid,11.99,Band_Aid (12.0%) | sunglasses (10.0%) | mask (9.7%) | bow_tie (7.4%) | ski_mask (6.4%)
Borhan_1.jpg,ResNet50,sunscreen,28.18,sunscreen (28.2%) | bow_tie (16.9%) | mask (16.0%) | barbershop (8.0%) | sunglasses (2.1%)
Borhan_2.jpg,ResNet50,mask,58.0,mask (58.0%) | ski_mask (2.9%) | bulletproof_vest (2.8%) | barbershop (2.8%) | bow_tie (2.4%)
Borhan_3.jpg,ResNet50,barbershop,17.84,barbershop (17.8%) | Band_Aid (15.1%) | bow_tie (14.8%) | sunscreen (8.4%) | suit (2.5%)
Borhan_4.jpg,ResNet50,mask,11.49,mask (11.5%) | sunscreen (9.7%) | bow_tie (9.0%) | barbershop (8.5%) | suit (5.8%)
Nazmul_0.jpg,ResNet50,wig,30.1,wig (30.1%) | hair_spray (19.0%) | neck_brace (8.6%) | bow_tie (6.6%) | Band_Aid (3.3%)
Nazmul_1.jpg,ResNet50,wig,78.3,wig (78.3%) | bow_tie (5.0%) | hair_spray (2.4%) | neck_brace (2.1%) | hair_slide (1.7%)
Nazmul_2.jpg,ResNet50,wig,23.12,wig (23.1%) | neck_brace (18.3%) | bow_tie (14.0%) | seat_belt (5.6%) | hair_spray (5.1%)
Nazmul_3.jpg,ResNet50,wig,62.1,wig (62.1%) | bow_tie (15.4%) | hair_spray (5.9%) | Band_Aid (2.3%) | groom (1.3%)
Nazmul_4.jpg,ResNet50,neck_brace,51.52,neck_brace (51.5%) | bow_tie (10.2%) | barbershop (8.5%) | wig (7.2%) | sunglasses (2.6%)
Shawon_0.jpg,ResNet50,groom,11.06,groom (11.1%) | bow_tie (10.9%) | cellular_telephone (6.4%) | hair_spray (2.2%) | face_powder (2.1%)
Shawon_1.jpg,ResNet50,bow_tie,9.14,bow_tie (9.1%) | tub (7.2%) | neck_brace (6.6%) | lab_coat (6.4%) | bathtub (5.4%)
